marketplace	review_id	product_id	product_category	star_rating	helpful_votes
US	R63J84G1LOX6R	1563890119	Books	4	0
US	R1BALOA11Z06MT	1559947608	Books	4	0
US	R1LLAY5W5PZUS4	0671701800	Books	5	1
US	R3R9VTJ82FXECQ	0425132153	Books	5	0
US	R1P5J3FNBWTFXY	0517122707	Books	5	0
US	R2XQTCOBWNCEAC	0345350499	Books	5	0
US	RG6LPC4W8LN29	0399134204	Books	5	0
US	RDFIE1IF0IYFH	0887306667	Books	5	0
US	R118UFZDTS9K8P	044022165X	Books	5	2
US	R3M7XTU4Y95NV6	0425107469	Books	5	1
US	R1KLWU5B78FKDR	0880389052	Books	5	1
US	R1BGW1GTUGJZXJ	0446310786	Books	5	0
US	R5UI1Q87QAZKH	0385040199	Books	5	1
US	R1TOE3LHCXE3DO	0679731377	Books	5	0
US	R3IME3JO53P3EM	0451169514	Books	5	1
US	R63DTB2NEMWYE	0316920045	Books	5	0
US	R1PY156QM1IKZN	0451175123	Books	5	0
US	R257996HG776HP	0880793589	Books	5	6
US	R16BYP244BVCHV	0783811950	Books	5	1
US	R3R68H9QIEKEM8	0312932081	Books	5	0
US	R3G96TSL669JZ8	0884271153	Books	4	6
US	R3CG2FPI27OUDT	0517122707	Books	5	0
US	R2X3QI9GV1WJ0N	0887307876	Books	4	1
US	R3PKK9VTN56ZDP	0316920045	Books	5	3
US	R3N01EQB2PQXLI	0399128964	Books	5	0
US	R3R3BII8RLC7DB	0060171928	Books	4	0
US	RWZ8OLQPHC57R	0440178002	Books	5	1
US	R3MHENE58411LJ	0679416781	Books	4	0
US	R1HYDKFI5NPSEO	044022165X	Books	5	1
US	R1SNRBWA3VFVHQ	0553375636	Books	5	0
US	RENX4ZLYSJ4IQ	006091307X	Books	5	1
US	R1R1V2QRQ87Q92	0440178002	Books	5	1
US	RUTNBUEI0UL9J	0399103422	Books	5	1
US	R346RIQWOD8NRU	0316920045	Books	5	1
US	R2CHLA5YE85XTN	0887307876	Books	5	1
US	R254JHYA1ZTH3X	0812505085	Books	5	0
US	R3US1ZDVOVCOEY	044651652X	Books	5	0
US	R3K2Y1EA5H3AES	0812505085	Books	5	1
US	R19I4TN6ABH4N2	0374266425	Books	5	0
US	R30UNZ6O6CCV7C	0440133688	Books	5	0
US	RFONLV2ZLVA4E	0345349571	Books	2	19
US	RLDJG5NNJP78W	0060916540	Books	5	0
US	R13LA3PORTAGI3	0345349571	Books	4	2
US	R3HR895XWW82C4	0887307876	Books	5	5
US	R30F9CQBBRU8X2	0393037010	Books	5	7
US	R3NQXJT4K5RLOW	0345403959	Books	5	0
US	R15ABRVX03262D	0070212570	Books	5	1
US	RN0GUUPHB7C4F	0312932081	Books	5	0
US	R22WRIXSG0WE6U	0553208845	Books	5	0
US	RULWKAINTXAUR	0393314804	Books	5	0
US	R1JF53VJD09VQK	0440211727	Books	5	163
